 ,probability
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,1
78,0
79,0
80,1
81,0
82,0
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,1
178,0
179,1
180,0
181,1
182,0
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,1
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,0
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,1
359,0
360,1
361,0
362,1
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,1
384,0
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,1
394,0
395,0
396,1
397,1
398,0
399,0
